id,author,work,date,era,kind,provenance_class,topics,related_topics,primary_url,reader_url,license,status,notes
pat-cyprian,Cyprian of Carthage,Epistles and Treatises,c. AD 248–258,Ante-Nicene,Primary patristic corpus,Primary Text,Church Unity; Bishop; Eucharist; Penance; Papacy,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/ccel/schaff/anf05,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-origen,Origen,Against Celsus; Commentaries,c. AD 230–250,Ante-Nicene,Primary patristic corpus,Primary Text,Scripture Interpretation; Prayer; Typology; Apologetics,"Prophecy, Typology and Allusion: Not the Same Claim; The Four Senses of Scripture and Biblical Typology; 2 Timothy 3:16–17 and the Sufficiency Question; Acts 17:11 and the Bereans; Christian Prayer; Councils of Rome, Hippo and Carthage and the Canon",https://www.ccel.org/ccel/schaff/anf04,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-athanasius,Athanasius,On the Incarnation; Against the Arians,c. AD 318–370,Nicene,Primary patristic corpus,Primary Text,Trinity; Divinity of Christ; Incarnation; Canon,"2 Timothy 3:16–17 and the Sufficiency Question; Acts 17:11 and the Bereans; Councils of Rome, Hippo and Carthage and the Canon; Deuterocanonical Books; Divinity of Jesus; Historical Myth: “Nicaea Invented the Divinity of Jesus”",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-cyrilj,Cyril of Jerusalem,Catechetical Lectures,c. AD 350,Nicene,Primary patristic corpus,Primary Text,Baptism; Confirmation; Eucharist; Creed; Catechesis,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/3101.htm,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-basil,Basil the Great,On the Holy Spirit; Letters,c. AD 360–378,Nicene,Primary patristic corpus,Primary Text,Holy Spirit; Tradition; Liturgy,Jehovah’s Witness: “The Holy Spirit Is Only an Active Force”; The Holy Spirit is a Divine Person; Born Again: Water and the Spirit; Eucharist / Holy Communion; Holy Orders; Mormonism: “The Church Fell into a Total Great Apostasy”,https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-ambrose,Ambrose of Milan,On the Mysteries; On Repentance,c. AD 380–390,Nicene,Primary patristic corpus,Primary Text,Sacraments; Eucharist; Baptism; Penance,"Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; Early Christians and the Eucharist; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-augustine,Augustine of Hippo,Selected Works,c. AD 390–430,Post-Nicene,Primary patristic corpus,Primary Text,Grace; Baptism; Church; Eucharist; Scripture; Purgatory/Prayer for Dead,"Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; Melchizedek, Priesthood and Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-jerome,Jerome,Letters; Against Jovinianus; Illustrious Men,c. AD 380–420,Post-Nicene,Primary patristic corpus,Primary Text,Scripture; Canon; Mary; Virginity; Church History,"The Dead Sea Scrolls and Old Testament Textual History; The Vulgate and St. Jerome; 2 Timothy 3:16–17 and the Sufficiency Question; Acts 17:11 and the Bereans; Councils of Rome, Hippo and Carthage and the Canon; Deuterocanonical Books",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
pat-chrysostom,John Chrysostom,Biblical Homilies; On the Priesthood,c. AD 380–407,Post-Nicene,Primary patristic corpus,Primary Text,Priesthood; Eucharist; Scripture; Moral Life,"Melchizedek, Priesthood and Eucharist; Early Christians and the Eucharist; Eucharist / Holy Communion; Manna and the Eucharist; The Eucharist as Sacrifice; The Eucharist: “Jesus Was Only Speaking Symbolically”",https://www.ccel.org/fathers,https://www.newadvent.org/fathers/,ANF/NPNF English translations are public-domain historical editions; verify against modern critical editions for publication-level scholarship.,Indexed,CCEL provides proofed electronic ANF/NPNF texts; New Advent is used as a convenient Catholic reader-facing access layer.
mag-ccc,Catholic Church,Catechism of the Catholic Church,1992 / current official web text,Magisterium,Official Catholic teaching,Corpus / Index,All doctrine; Scripture; Tradition; Fathers; Liturgy,"Scripture, Tradition and Magisterium Together; 2 Timothy 3:16–17 and the Sufficiency Question; Acts 17:11 and the Bereans; Clement of Rome and Apostolic Ministry; Councils of Rome, Hippo and Carthage and the Canon; Deuterocanonical Books",https://www.vatican.va/content/catechism/en.html,,Official Holy See text; link/cite rather than relicense.,Indexed,"The Catechism identifies Scripture, Fathers, liturgy, and Magisterium among its principal sources."
mag-tradition,Catholic Church,CCC 75–83: Apostolic Tradition,1992,Magisterium,Official Catholic teaching,Corpus / Index,Apostolic Tradition; Apostolic Succession; Scripture & Tradition,"Apostolic Succession; Apostolic Succession: “Authority Ended With the Apostles”; Early Christians and Apostolic Succession; Irenaeus, Polycarp and Apostolic Succession; Scripture, Tradition and Magisterium Together; The Septuagint and the Apostolic Church",https://www.vatican.va/content/catechism/en/part_one/section_one/chapter_two/artcile_2/i_the_apostolic_tradition.html,,Official Holy See text.,Indexed,
mag-apostolic,Catholic Church,CCC 857–865: The Church is Apostolic,1992,Magisterium,Official Catholic teaching,Corpus / Index,Apostolic Succession; Bishops; Church,"Apostolic Succession; Apostolic Succession: “Authority Ended With the Apostles”; Early Christians and Apostolic Succession; Irenaeus, Polycarp and Apostolic Succession; Apostolic Church; Clement of Rome and Apostolic Ministry",https://www.vatican.va/content/catechism/en/part_one/section_two/chapter_three/article_9/paragraph_3_the_church_is_one%2C_holy%2C_catholic%2C_and_apostolic.html,,Official Holy See text.,Indexed,
src-fordham,Fordham University,Internet History Sourcebooks — Church Councils / Fathers,Modern index,Research aid,Historical source index,Corpus / Index,Councils; Fathers; Church History,"Clement of Rome and Apostolic Ministry; Councils of Rome, Hippo and Carthage and the Canon; Early Christians and Apostolic Succession; Early Christians and the Eucharist; Ecumenical Councils; Ignatius of Antioch and the Catholic Church",https://sourcebooks.web.fordham.edu/sbook2.asp,,Index includes historical public-domain translations; Fordham warns modern critical editions should be consulted for serious academic publication.,Indexed,"Use as discovery/access layer, not as sole authority for critical text."
src-ccel,Christian Classics Ethereal Library,Early Church Fathers — ANF/NPNF,Electronic edition,Research corpus,Patristic corpus,Corpus / Index,Fathers; Councils; Biblical Commentary,"Clement of Rome and Apostolic Ministry; Early Christians and Apostolic Succession; Early Christians and the Eucharist; Ignatius of Antioch and the Catholic Church; Irenaeus, Polycarp and Apostolic Succession; Justin Martyr and Early Christian Worship",https://ccel.org/fathers,,Historical ANF/NPNF translations are public-domain editions; CCEL electronic presentation has its own terms.,Indexed,CCEL states the electronic series was carefully proofed and converted to ThML.
